Epoch 1 | Train Loss: 68.13329 | Val Loss: 65.82654
Epoch 2 | Train Loss: 62.51794 | Val Loss: 58.05724
Epoch 3 | Train Loss: 52.05611 | Val Loss: 45.07432
Epoch 4 | Train Loss: 38.88945 | Val Loss: 32.82210
Epoch 5 | Train Loss: 27.62591 | Val Loss: 22.35347
Epoch 6 | Train Loss: 18.01517 | Val Loss: 13.65231
Epoch 7 | Train Loss: 10.79276 | Val Loss: 7.92947
Epoch 8 | Train Loss: 6.53344 | Val Loss: 4.80529
Epoch 9 | Train Loss: 4.37933 | Val Loss: 3.52734
Epoch 10 | Train Loss: 3.28289 | Val Loss: 3.01812
Epoch 11 | Train Loss: 2.73366 | Val Loss: 2.15874
Epoch 12 | Train Loss: 2.38769 | Val Loss: 2.11016
Epoch 13 | Train Loss: 2.16738 | Val Loss: 1.99841
Epoch 14 | Train Loss: 1.99997 | Val Loss: 2.09059
Epoch 15 | Train Loss: 1.87946 | Val Loss: 1.70706
Epoch 16 | Train Loss: 1.78003 | Val Loss: 1.53658
Epoch 17 | Train Loss: 1.68915 | Val Loss: 1.47394
Epoch 18 | Train Loss: 1.62655 | Val Loss: 1.57402
Epoch 19 | Train Loss: 1.58703 | Val Loss: 1.67197
Epoch 20 | Train Loss: 1.50558 | Val Loss: 1.25916
Epoch 21 | Train Loss: 1.44994 | Val Loss: 1.31066
Epoch 22 | Train Loss: 1.41743 | Val Loss: 1.18616
Epoch 23 | Train Loss: 1.37708 | Val Loss: 1.52610
Epoch 24 | Train Loss: 1.34158 | Val Loss: 1.22056
Epoch 25 | Train Loss: 1.30210 | Val Loss: 1.08546
Epoch 26 | Train Loss: 1.28974 | Val Loss: 1.20759
Epoch 27 | Train Loss: 1.24898 | Val Loss: 1.14204
Epoch 28 | Train Loss: 1.23131 | Val Loss: 1.36948
Epoch 29 | Train Loss: 1.17895 | Val Loss: 1.36396
Epoch 30 | Train Loss: 1.16031 | Val Loss: 1.23525
Epoch 31 | Train Loss: 1.13502 | Val Loss: 1.20772
Epoch 32 | Train Loss: 1.13799 | Val Loss: 0.99966
Epoch 33 | Train Loss: 1.11660 | Val Loss: 0.94937
Epoch 34 | Train Loss: 1.08897 | Val Loss: 1.09824
Epoch 35 | Train Loss: 1.06184 | Val Loss: 0.89959
Epoch 36 | Train Loss: 1.04180 | Val Loss: 1.06755
Epoch 37 | Train Loss: 1.01776 | Val Loss: 1.05429
Epoch 38 | Train Loss: 1.00443 | Val Loss: 0.99522
Epoch 39 | Train Loss: 0.99127 | Val Loss: 1.24792
Epoch 40 | Train Loss: 1.00239 | Val Loss: 0.99874
Epoch 41 | Train Loss: 0.97501 | Val Loss: 0.92897
Epoch 42 | Train Loss: 0.94656 | Val Loss: 1.09212
Epoch 43 | Train Loss: 0.94160 | Val Loss: 0.91465
Epoch 44 | Train Loss: 0.92118 | Val Loss: 0.90172
Epoch 45 | Train Loss: 0.90627 | Val Loss: 1.18357
Epoch 46 | Train Loss: 0.90628 | Val Loss: 1.01339
Epoch 47 | Train Loss: 0.89315 | Val Loss: 1.00856
Epoch 48 | Train Loss: 0.88561 | Val Loss: 1.01251
Epoch 49 | Train Loss: 0.88396 | Val Loss: 0.83037
Epoch 50 | Train Loss: 0.87230 | Val Loss: 1.02035
Epoch 51 | Train Loss: 0.84605 | Val Loss: 0.86804
Epoch 52 | Train Loss: 0.84194 | Val Loss: 1.07027
Epoch 53 | Train Loss: 0.85273 | Val Loss: 0.87198
Epoch 54 | Train Loss: 0.82712 | Val Loss: 0.98044
Epoch 55 | Train Loss: 0.80423 | Val Loss: 0.94578
Epoch 56 | Train Loss: 0.81227 | Val Loss: 1.06016
Epoch 57 | Train Loss: 0.80894 | Val Loss: 0.93106
Epoch 58 | Train Loss: 0.79270 | Val Loss: 0.87582
Epoch 59 | Train Loss: 0.78366 | Val Loss: 0.87173
Epoch 60 | Train Loss: 0.78869 | Val Loss: 1.04861
Epoch 61 | Train Loss: 0.76641 | Val Loss: 0.88617
Epoch 62 | Train Loss: 0.76539 | Val Loss: 0.88168
Epoch 63 | Train Loss: 0.74761 | Val Loss: 0.84420
Epoch 64 | Train Loss: 0.76744 | Val Loss: 0.94886
Epoch 65 | Train Loss: 0.74629 | Val Loss: 1.01049
