Epoch 1 | Train Loss: 65.66499 | Val Loss: 53.59619
Epoch 2 | Train Loss: 43.59509 | Val Loss: 33.03178
Epoch 3 | Train Loss: 22.97678 | Val Loss: 13.59206
Epoch 4 | Train Loss: 8.54246 | Val Loss: 4.93988
Epoch 5 | Train Loss: 3.96703 | Val Loss: 2.86836
Epoch 6 | Train Loss: 2.95447 | Val Loss: 2.37700
Epoch 7 | Train Loss: 2.53412 | Val Loss: 1.81824
Epoch 8 | Train Loss: 2.26284 | Val Loss: 2.14238
Epoch 9 | Train Loss: 2.09390 | Val Loss: 1.98555
Epoch 10 | Train Loss: 1.95903 | Val Loss: 2.01528
Epoch 11 | Train Loss: 1.84915 | Val Loss: 1.71036
Epoch 12 | Train Loss: 1.75801 | Val Loss: 1.69531
Epoch 13 | Train Loss: 1.67229 | Val Loss: 1.34150
Epoch 14 | Train Loss: 1.59143 | Val Loss: 1.63440
Epoch 15 | Train Loss: 1.51766 | Val Loss: 1.91094
Epoch 16 | Train Loss: 1.46073 | Val Loss: 1.18336
Epoch 17 | Train Loss: 1.40221 | Val Loss: 1.92651
Epoch 18 | Train Loss: 1.34590 | Val Loss: 1.57867
Epoch 19 | Train Loss: 1.31560 | Val Loss: 1.38471
Epoch 20 | Train Loss: 1.27163 | Val Loss: 1.24629
Epoch 21 | Train Loss: 1.22753 | Val Loss: 1.30663
Epoch 22 | Train Loss: 1.20400 | Val Loss: 1.19647
Epoch 23 | Train Loss: 1.16555 | Val Loss: 1.04185
Epoch 24 | Train Loss: 1.14837 | Val Loss: 1.34575
Epoch 25 | Train Loss: 1.10310 | Val Loss: 1.12314
Epoch 26 | Train Loss: 1.08708 | Val Loss: 1.00792
Epoch 27 | Train Loss: 1.06553 | Val Loss: 1.13612
Epoch 28 | Train Loss: 1.03272 | Val Loss: 1.11964
Epoch 29 | Train Loss: 1.02732 | Val Loss: 1.18271
Epoch 30 | Train Loss: 0.99975 | Val Loss: 1.35388
Epoch 31 | Train Loss: 0.98173 | Val Loss: 1.09372
Epoch 32 | Train Loss: 0.96079 | Val Loss: 1.28646
Epoch 33 | Train Loss: 0.94261 | Val Loss: 1.18000
Epoch 34 | Train Loss: 0.93325 | Val Loss: 1.02856
Epoch 35 | Train Loss: 0.91327 | Val Loss: 1.08972
Epoch 36 | Train Loss: 0.89285 | Val Loss: 1.35864
Epoch 37 | Train Loss: 0.88257 | Val Loss: 0.85092
Epoch 38 | Train Loss: 0.87435 | Val Loss: 1.16538
Epoch 39 | Train Loss: 0.84668 | Val Loss: 1.08897
Epoch 40 | Train Loss: 0.83884 | Val Loss: 1.04788
Epoch 41 | Train Loss: 0.82570 | Val Loss: 1.22419
Epoch 42 | Train Loss: 0.81830 | Val Loss: 0.96788
Epoch 43 | Train Loss: 0.79671 | Val Loss: 1.17773
Epoch 44 | Train Loss: 0.78304 | Val Loss: 1.03691
Epoch 45 | Train Loss: 0.77091 | Val Loss: 0.95763
Epoch 46 | Train Loss: 0.75938 | Val Loss: 1.04907
Epoch 47 | Train Loss: 0.75344 | Val Loss: 1.05821
Epoch 48 | Train Loss: 0.74082 | Val Loss: 1.15501
Epoch 49 | Train Loss: 0.73558 | Val Loss: 0.99222
Epoch 50 | Train Loss: 0.71479 | Val Loss: 0.87816
Epoch 51 | Train Loss: 0.71265 | Val Loss: 1.36728
Epoch 52 | Train Loss: 0.70347 | Val Loss: 0.84941
Epoch 53 | Train Loss: 0.69171 | Val Loss: 1.06416
Epoch 54 | Train Loss: 0.68759 | Val Loss: 0.83219
Epoch 55 | Train Loss: 0.67461 | Val Loss: 0.98904
Epoch 56 | Train Loss: 0.66924 | Val Loss: 1.05232
Epoch 57 | Train Loss: 0.66201 | Val Loss: 1.14648
Epoch 58 | Train Loss: 0.64952 | Val Loss: 0.90453
Epoch 59 | Train Loss: 0.64496 | Val Loss: 1.00354
Epoch 60 | Train Loss: 0.62891 | Val Loss: 1.12463
Epoch 61 | Train Loss: 0.62368 | Val Loss: 0.93457
Epoch 62 | Train Loss: 0.61931 | Val Loss: 0.83653
Epoch 63 | Train Loss: 0.60868 | Val Loss: 1.03428
Epoch 64 | Train Loss: 0.60525 | Val Loss: 0.93523
Epoch 65 | Train Loss: 0.60154 | Val Loss: 1.04730
Epoch 66 | Train Loss: 0.59487 | Val Loss: 0.98384
Epoch 67 | Train Loss: 0.58671 | Val Loss: 1.12696
Epoch 68 | Train Loss: 0.58228 | Val Loss: 1.13241
Epoch 69 | Train Loss: 0.56915 | Val Loss: 1.04941
Epoch 70 | Train Loss: 0.56531 | Val Loss: 0.87940
