Epoch 1 | Train Loss: 57.90448 | Val Loss: 41.57916
Epoch 2 | Train Loss: 26.66249 | Val Loss: 14.29083
Epoch 3 | Train Loss: 8.81529 | Val Loss: 4.62403
Epoch 4 | Train Loss: 3.38660 | Val Loss: 2.05340
Epoch 5 | Train Loss: 2.38917 | Val Loss: 2.16258
Epoch 6 | Train Loss: 2.01921 | Val Loss: 1.63328
Epoch 7 | Train Loss: 1.78709 | Val Loss: 1.57392
Epoch 8 | Train Loss: 1.64082 | Val Loss: 1.57371
Epoch 9 | Train Loss: 1.50350 | Val Loss: 1.35922
Epoch 10 | Train Loss: 1.42642 | Val Loss: 1.39520
Epoch 11 | Train Loss: 1.33750 | Val Loss: 1.24441
Epoch 12 | Train Loss: 1.27872 | Val Loss: 1.17262
Epoch 13 | Train Loss: 1.22465 | Val Loss: 0.94940
Epoch 14 | Train Loss: 1.17408 | Val Loss: 1.13099
Epoch 15 | Train Loss: 1.12690 | Val Loss: 1.36645
Epoch 16 | Train Loss: 1.08653 | Val Loss: 1.11075
Epoch 17 | Train Loss: 1.04203 | Val Loss: 1.24628
Epoch 18 | Train Loss: 1.00631 | Val Loss: 0.94030
Epoch 19 | Train Loss: 0.97501 | Val Loss: 1.03494
Epoch 20 | Train Loss: 0.94417 | Val Loss: 0.99616
Epoch 21 | Train Loss: 0.91624 | Val Loss: 1.05720
Epoch 22 | Train Loss: 0.89605 | Val Loss: 1.04615
Epoch 23 | Train Loss: 0.86146 | Val Loss: 0.97888
Epoch 24 | Train Loss: 0.84266 | Val Loss: 1.17570
Epoch 25 | Train Loss: 0.82037 | Val Loss: 0.96228
Epoch 26 | Train Loss: 0.80177 | Val Loss: 0.92190
Epoch 27 | Train Loss: 0.77793 | Val Loss: 0.94111
Epoch 28 | Train Loss: 0.76079 | Val Loss: 1.01957
Epoch 29 | Train Loss: 0.74376 | Val Loss: 0.82084
Epoch 30 | Train Loss: 0.72645 | Val Loss: 0.83373
Epoch 31 | Train Loss: 0.70710 | Val Loss: 1.07714
Epoch 32 | Train Loss: 0.70265 | Val Loss: 0.86665
Epoch 33 | Train Loss: 0.68567 | Val Loss: 0.98227
Epoch 34 | Train Loss: 0.67017 | Val Loss: 0.84573
Epoch 35 | Train Loss: 0.65712 | Val Loss: 0.96150
Epoch 36 | Train Loss: 0.64524 | Val Loss: 0.89349
Epoch 37 | Train Loss: 0.62822 | Val Loss: 0.91961
Epoch 38 | Train Loss: 0.62284 | Val Loss: 1.02782
Epoch 39 | Train Loss: 0.61373 | Val Loss: 0.66217
Epoch 40 | Train Loss: 0.60302 | Val Loss: 0.91893
Epoch 41 | Train Loss: 0.59886 | Val Loss: 0.87293
Epoch 42 | Train Loss: 0.58331 | Val Loss: 0.76429
Epoch 43 | Train Loss: 0.57936 | Val Loss: 0.98347
Epoch 44 | Train Loss: 0.57470 | Val Loss: 0.85897
Epoch 45 | Train Loss: 0.56075 | Val Loss: 0.79271
Epoch 46 | Train Loss: 0.55317 | Val Loss: 0.88949
Epoch 47 | Train Loss: 0.54996 | Val Loss: 0.96173
Epoch 48 | Train Loss: 0.53761 | Val Loss: 0.88726
Epoch 49 | Train Loss: 0.53473 | Val Loss: 0.88012
Epoch 50 | Train Loss: 0.52323 | Val Loss: 0.81444
Epoch 51 | Train Loss: 0.52150 | Val Loss: 0.80984
