Epoch 1 | Train Loss: 59.09376 | Val Loss: 57.78026
Epoch 2 | Train Loss: 56.24968 | Val Loss: 54.14317
Epoch 3 | Train Loss: 51.29306 | Val Loss: 47.76000
Epoch 4 | Train Loss: 43.96211 | Val Loss: 40.16660
Epoch 5 | Train Loss: 36.91825 | Val Loss: 33.56632
Epoch 6 | Train Loss: 30.28800 | Val Loss: 26.80349
Epoch 7 | Train Loss: 23.69801 | Val Loss: 20.53366
Epoch 8 | Train Loss: 17.65231 | Val Loss: 14.94424
Epoch 9 | Train Loss: 12.56836 | Val Loss: 10.15478
Epoch 10 | Train Loss: 8.60031 | Val Loss: 6.82021
Epoch 11 | Train Loss: 5.76717 | Val Loss: 4.46733
Epoch 12 | Train Loss: 3.96719 | Val Loss: 3.04258
Epoch 13 | Train Loss: 2.85438 | Val Loss: 2.38667
Epoch 14 | Train Loss: 2.20624 | Val Loss: 1.77969
Epoch 15 | Train Loss: 1.83943 | Val Loss: 1.47025
Epoch 16 | Train Loss: 1.62048 | Val Loss: 1.32991
Epoch 17 | Train Loss: 1.46807 | Val Loss: 1.13109
Epoch 18 | Train Loss: 1.35548 | Val Loss: 1.08478
Epoch 19 | Train Loss: 1.27619 | Val Loss: 0.98854
Epoch 20 | Train Loss: 1.21702 | Val Loss: 1.02095
Epoch 21 | Train Loss: 1.17264 | Val Loss: 1.18968
Epoch 22 | Train Loss: 1.14711 | Val Loss: 0.94415
Epoch 23 | Train Loss: 1.08442 | Val Loss: 0.82574
Epoch 24 | Train Loss: 1.05559 | Val Loss: 0.87960
Epoch 25 | Train Loss: 1.05547 | Val Loss: 0.80075
Epoch 26 | Train Loss: 1.01547 | Val Loss: 0.82335
Epoch 27 | Train Loss: 0.98441 | Val Loss: 0.81636
Epoch 28 | Train Loss: 0.97475 | Val Loss: 0.93523
Epoch 29 | Train Loss: 0.96078 | Val Loss: 0.90227
Epoch 30 | Train Loss: 0.93733 | Val Loss: 0.79864
Epoch 31 | Train Loss: 0.92731 | Val Loss: 0.97300
Epoch 32 | Train Loss: 0.91053 | Val Loss: 0.83584
Epoch 33 | Train Loss: 0.90550 | Val Loss: 0.85506
Epoch 34 | Train Loss: 0.88425 | Val Loss: 0.83585
Epoch 35 | Train Loss: 0.86260 | Val Loss: 0.78236
Epoch 36 | Train Loss: 0.86027 | Val Loss: 0.94058
Epoch 37 | Train Loss: 0.84766 | Val Loss: 0.79695
Epoch 38 | Train Loss: 0.84289 | Val Loss: 0.59800
Epoch 39 | Train Loss: 0.83049 | Val Loss: 0.69050
Epoch 40 | Train Loss: 0.80555 | Val Loss: 0.67067
Epoch 41 | Train Loss: 0.80840 | Val Loss: 0.65006
Epoch 42 | Train Loss: 0.80034 | Val Loss: 0.85249
Epoch 43 | Train Loss: 0.79252 | Val Loss: 0.74537
Epoch 44 | Train Loss: 0.78227 | Val Loss: 0.72708
Epoch 45 | Train Loss: 0.78664 | Val Loss: 0.73088
Epoch 46 | Train Loss: 0.76148 | Val Loss: 0.71192
